method,accuracy,precision_macro,recall_macro,f1_macro
Supervised Random Forest (100% labels),0.9707,0.9705266284233052,0.9704315815377129,0.9704635070001654
New handwritten digits (same RF),0.65,0.55,0.65,0.5633333333333332
K-Means (post-hoc mapped),0.5954,,,
Label Propagation (5% labels),0.9567,0.9572951257821662,0.956211564354156,0.9564898900687542
K-Means + Cluster Labeling (5%),0.5954,0.5100821959788687,0.5844280929871051,0.5332108857479398
Supervised RF baseline (5% only),0.9327,0.9324647433722859,0.931707376908441,0.9318432046613534
